query,english_gloss,language,intent,stage,demand,source,topic_cluster
how to sell off-plan property in Dubai,how to sell off-plan property in Dubai,en,informational,Researching,3,SERP,Process & eligibility
sell off-plan before handover Dubai,sell off-plan before handover Dubai,en,informational,Researching,3,SERP,Process & eligibility
can you sell off-plan property in Dubai,can you sell off-plan property in Dubai,en,informational,Considering,3,Quora,Process & eligibility
off-plan resale Dubai process,off-plan resale Dubai process,en,informational,Researching,3,SERP,Process & eligibility
how to resell off-plan property Dubai,how to resell off-plan property Dubai,en,informational,Researching,3,SERP,Process & eligibility
SPA assignment Dubai,SPA assignment Dubai,en,informational,Researching,3,PAA,SPA transfer
assignment of contract Dubai property,assignment of contract Dubai property,en,informational,Researching,2,Publisher,Process & eligibility
Oqood transfer Dubai,Oqood transfer Dubai,en,informational,Researching,3,SERP,Oqood & DLD mechanics
Oqood vs title deed,Oqood vs title deed,en,informational,Considering,3,Publisher,Oqood & DLD mechanics
NOC for selling off-plan Dubai,NOC for selling off-plan Dubai,en,informational,Researching,3,SERP,NOC procedures
developer NOC fee Dubai,developer NOC fee Dubai,en,commercial-investigational,Researching,3,PAA,NOC procedures
Emaar NOC fee off-plan,Emaar NOC fee off-plan,en,commercial-investigational,Researching,3,SERP,NOC procedures
Emaar resale NOC percentage paid,Emaar resale NOC percentage paid,en,commercial-investigational,Researching,2,Publisher,NOC procedures
Sobha NOC fee,Sobha NOC fee,en,commercial-investigational,Researching,2,Inferred,NOC procedures
Damac NOC resale fee,Damac NOC resale fee,en,commercial-investigational,Researching,2,SERP,NOC procedures
Nakheel NOC resale fee,Nakheel NOC resale fee,en,commercial-investigational,Researching,2,Publisher,NOC procedures
Nakheel novation agreement,Nakheel novation agreement,en,informational,Researching,1,Publisher,Developer-specific rules
Meraas NOC resale,Meraas NOC resale,en,commercial-investigational,Researching,1,Inferred,NOC procedures
Azizi NOC resale,Azizi NOC resale,en,commercial-investigational,Researching,1,Inferred,NOC procedures
Danube Properties NOC resale,Danube Properties NOC resale,en,commercial-investigational,Researching,1,Inferred,NOC procedures
minimum percentage paid to resell off-plan Dubai,minimum percentage paid to resell off-plan Dubai,en,informational,Researching,3,PAA,Fees & net proceeds
30% paid can I sell off-plan,30% paid can I sell off-plan,en,informational,Researching,2,Inferred,Fees & net proceeds
40% paid sell Dubai off-plan,40% paid sell Dubai off-plan,en,informational,Researching,2,Inferred,Fees & net proceeds
