topic_cluster,language,demand_score,supply_score,gap_score,language_weight,priority_score,dalya_strategic_fit,recommended,intent_type,notes
Marketplace / listing channels,en,6.2,2,4.2,1.0,5.88,1.4,TRUE,transactional,No guide on 'list your off-plan without an agent' — EMPTY — 0H 4M 9L queries; 13 total
Banking / getting paid,ru,7.2,2,5.2,0.7,5.46,1.5,TRUE,transactional,EMPTY from brokerage voice; VC.ru + MIGRON hold it from diaspora angle — 3H 5M 0L queries; 8 total
Tax — home-country residual,ru,10.0,5,5.0,0.7,5.25,1.5,TRUE,informational,3-НДФЛ/CRS owned by legal blogs; brokerage voice EMPTY — biggest RU opportunity — 8H 7M 0L queries; 15 total
NOC procedures,en,8.0,4,4.0,1.0,5.2,1.3,TRUE,commercial-investigational,Generic NOC guides exist; no developer-by-developer fee table — gap — 3H 5M 3L queries; 11 total
Fees & net proceeds,en,7.0,4,3.0,1.0,4.2,1.4,TRUE,commercial-investigational,DLD fees covered verbally; no seller calculator — gap — 2H 6M 1L queries; 9 total
Tax — home-country residual,en,6.0,3,3.0,1.0,3.9,1.3,TRUE,informational,US covered (TaxesForExpats); UK/India/GCC fragmented — 2H 4M 1L queries; 7 total
Payment plan arrears / distress,ar,6.2,3,3.2,0.9,3.46,1.2,TRUE,informational,Excel + fragmented legal; consequences explainer missing — 3H 3M 0L queries; 6 total
Process & eligibility,ar,9.9,6,3.9,0.9,3.16,0.9,TRUE,informational,DXB+Bayut-AR cover basics; not journey-framed — 6H 3M 4L queries; 13 total
NOC procedures,ar,4.7,2,2.7,0.9,3.16,1.3,TRUE,commercial-investigational,EMPTY: no Emaar/Damac/Sobha/Nakheel Arabic NOC guide — highest-intent gap — 1H 2M 3L queries; 6 total
Process & eligibility,ru,9.9,5,4.9,0.7,3.09,0.9,TRUE,informational,VC.ru legal + 2 brokerages; no canonical brokerage guide — 6H 5M 0L queries; 11 total
Commission — 0.15% vs 2%,en,6.8,5,1.8,1.0,2.7,1.5,TRUE,commercial-investigational,Rate explained; 0.15% framing owned by nobody — core Dalya lane — 2H 5M 2L queries; 9 total
Tax — home-country residual,ar,5.3,3,2.3,0.9,2.69,1.3,TRUE,informational,APIL + Al Khaleej fragments; resident-vs-non-resident definitive explainer missing — 2H 3M 0L queries; 5 total
Developer-specific rules,ar,3.0,1,2.0,0.9,1.98,1.1,FALSE,commercial-investigational,EMPTY (Dalya's biggest Arabic opening per research) — 0H 2M 0L queries; 2 total
Regulatory / RERA,ar,8.2,6,2.2,0.9,1.78,0.9,FALSE,informational,Trakheesi well-covered by Bayut/Dubizzle/DLD; competitive — 6H 1M 1L queries; 8 total
Commission — 0.15% vs 2%,ar,6.3,5,1.3,0.9,1.76,1.5,FALSE,commercial-investigational,Commission at 2% covered; 0.15% framing absent — 2H 4M 2L queries; 8 total
Payment plan arrears / distress,en,5.4,4,1.4,1.0,1.68,1.2,FALSE,informational,Buyer-cancellation dominant; seller distress missing — 1H 5M 0L queries; 6 total
Developer-specific rules,ru,4.0,2,2.0,0.7,1.54,1.1,FALSE,commercial-investigational,Emaar-40% mentioned; others unaddressed in Russian — 0H 4M 0L queries; 4 total
Oqood & DLD mechanics,ar,8.3,7,1.3,0.9,1.52,1.3,FALSE,informational,DLD service catalog + Westgate + Taraf; competitive — 4H 5M 1L queries; 10 total
Remote selling / POA,ru,5.7,4,1.7,0.7,1.43,1.2,FALSE,transactional,Fragments exist; integrated 'sell from Moscow without flying' playbook missing — 3H 2M 0L queries; 5 total
Tax — home-country residual,hi,8.9,4,4.9,0.2,1.37,1.4,FALSE,informational,BS Hindi has one FEMA piece; Hinglish wedge is real — ED/FAIU compliance — 1H 11M 2L queries; 14 total
Process & eligibility,zh,7.7,4,3.7,0.4,1.33,0.9,FALSE,informational,Buyer-framed only; no seller-exit guide — 3H 5M 2L queries; 10 total
NOC procedures,ru,4.4,3,1.4,0.7,1.27,1.3,FALSE,commercial-investigational,Housearch generic; Emaar-only mentioned; Damac/Sobha/Nakheel almost nothing — 1H 3M 0L queries; 4 total
Fees & net proceeds,ru,5.2,4,1.2,0.7,1.18,1.4,FALSE,commercial-investigational,Goldenbee covers fees; no calculator for distressed exit — 3H 1M 0L queries; 4 total
Regulatory / RERA,zh,5.7,3,2.7,0.4,0.97,0.9,FALSE,informational,Golden Visa saturated; RERA thin — 3H 2M 0L queries; 5 total
Process & eligibility,en,10.0,9,1.0,1.0,0.9,0.9,FALSE,informational,Bayut/PF/Provident/Betterhomes saturated; template-uniform — 5H 11M 3L queries; 19 total
Marketplace / listing channels,ru,2.9,2,0.9,0.7,0.88,1.4,FALSE,transactional,Listings only on portals; propertyfinder/bayut lack RU blog — 1H 0M 0L queries; 1 total
Commission — 0.15% vs 2%,ru,4.8,4,0.8,0.7,0.84,1.5,FALSE,commercial-investigational,Prian explains 2%; no 'save AED while underwater' framing — 2H 2M 0L queries; 4 total
Pricing & benchmarking,en,3.5,3,0.5,1.0,0.65,1.3,FALSE,commercial-investigational,Edwards & Towers exit guide; no public AVM — 0H 3M 0L queries; 3 total
Process & eligibility,hi,5.3,2,3.3,0.2,0.59,0.9,FALSE,informational,Observed machine-translations only; structurally unwinnable in pure Hindi — 2H 1M 4L queries; 7 total
Remote selling / POA,zh,3.0,2,1.0,0.4,0.48,1.2,FALSE,transactional,Near-empty; overseas-seller path uncontested — 0H 1M 2L queries; 3 total
